FP,log_loss,solver,timestamp,hidden_layer_sizes,MCC,TP,TN,random_state,classifier,FN,accuracy,C
2,0.05627774679086064,lbfgs,2018-07-11 19:40:25.468000,10,-0.008746950488174133,0,676,8356306,MLPClassifier,18,0.9712643678160919,
4,0.056566555149496,lbfgs,2018-07-11 19:40:25.468000,10,0.2557344716697774,3,674,4719992,MLPClassifier,15,0.9727011494252874,
0,0.08590976048420888,lbfgs,2018-07-11 19:40:25.468000,100,0.0,0,678,2461603,MLPClassifier,18,0.9741379310344828,
1,0.08729045994067255,lbfgs,2018-07-11 19:40:25.468000,10,-0.006180576742705913,0,677,3814402,MLPClassifier,18,0.9727011494252874,
0,0.057079570632989844,lbfgs,2018-07-11 19:40:25.468000,10,0.40380584822308235,3,678,9494582,MLPClassifier,15,0.978448275862069,
0,0.11282784276602371,newton-cg,2018-07-11 19:40:48.772000,,0.0,0,678,6423628,LogisticRegression,18,0.9741379310344828,0.3
0,0.11788124877013015,newton-cg,2018-07-11 19:40:48.772000,,0.0,0,678,1889625,LogisticRegression,18,0.9741379310344828,0.3
0,0.11452814964197999,newton-cg,2018-07-11 19:40:48.772000,,0.0,0,678,7205768,LogisticRegression,18,0.9741379310344828,0.3
0,0.11621709219097405,newton-cg,2018-07-11 19:40:48.772000,,0.0,0,678,8607484,LogisticRegression,18,0.9741379310344828,0.3
0,0.11644279750549753,newton-cg,2018-07-11 19:40:48.772000,,0.0,0,678,940065,LogisticRegression,18,0.9741379310344828,0.3
0,0.11257709086889871,lbfgs,2018-07-11 19:41:06.440000,,0.0,0,678,7204931,LogisticRegression,18,0.9741379310344828,0.3
0,0.1130523973348973,lbfgs,2018-07-11 19:41:06.440000,,0.0,0,678,722575,LogisticRegression,18,0.9741379310344828,0.3
0,0.12348812017779358,lbfgs,2018-07-11 19:41:06.440000,,0.0,0,678,1101556,LogisticRegression,18,0.9741379310344828,0.3
0,0.1175706299805765,lbfgs,2018-07-11 19:41:06.440000,,0.0,0,678,4787931,LogisticRegression,18,0.9741379310344828,0.3
0,0.11420673907460281,lbfgs,2018-07-11 19:41:06.440000,,0.0,0,678,9719657,LogisticRegression,18,0.9741379310344828,0.3
0,0.11671394681009815,liblinear,2018-07-11 19:41:19.177000,,0.0,0,678,9563940,LogisticRegression,18,0.9741379310344828,0.3
0,0.11515929490970939,liblinear,2018-07-11 19:41:19.177000,,0.0,0,678,8098095,LogisticRegression,18,0.9741379310344828,0.3
0,0.11155969331077825,liblinear,2018-07-11 19:41:19.177000,,0.0,0,678,2016750,LogisticRegression,18,0.9741379310344828,0.3
0,0.1201116965240691,liblinear,2018-07-11 19:41:19.177000,,0.0,0,678,3247703,LogisticRegression,18,0.9741379310344828,0.3
0,0.11497754993591539,liblinear,2018-07-11 19:41:19.177000,,0.0,0,678,8250029,LogisticRegression,18,0.9741379310344828,0.3
